Title,Total_Revenue,FinancialYear,Quarter,Month
"McDonalds MS",0.0311000000000000,FY26,Q1,May
"McDonalds MS",0.0302000000000000,FY26,Q1,Jun
"Medidata",0.0500000000000000,FY26,Q1,Apr
"Medidata",0.0550000000000000,FY26,Q1,May
"Medidata",0.0550000000000000,FY26,Q1,Jun
"Meta Platforms Technologies, LLC",0.104300000000000,FY26,Q1,Apr
"Meta Platforms Technologies, LLC",0.107400000000000,FY26,Q1,May
"Meta Platforms Technologies, LLC",0.349300000000000,FY26,Q1,Jun
"Metcash Limited ",0.00590000000000000,FY26,Q1,Apr
"Metcash Limited ",0.00590000000000000,FY26,Q1,May
"Metcash Limited ",0.00590000000000000,FY26,Q1,Jun
"Metricstream",0.00272160000000000,FY26,Q1,Apr
"Metricstream",0.00285120000000000,FY26,Q1,May
"Metricstream",0,FY26,Q1,Jun
"Metro Cash & Carry",0,FY26,Q1,Apr
"Metro Cash & Carry",0,FY26,Q1,May
"Metro Cash & Carry",0,FY26,Q1,Jun
"Michael Hill",0.0526000000000000,FY26,Q1,Apr
"Michael Hill",0.0418000000000000,FY26,Q1,May
"Michael Hill",0.0406000000000000,FY26,Q1,Jun
"Microsoft Global Account",4.81000000000000,FY26,Q1,Apr
"Microsoft Global Account",5.02000000000000,FY26,Q1,May
"Microsoft Global Account",5.22290000000000,FY26,Q1,Jun
"Milton Cat",0.00990000000000000,FY26,Q1,Apr
"Milton Cat",0.0102000000000000,FY26,Q1,May
"Milton Cat",0.00990000000000000,FY26,Q1,Jun
"Milwaukee Electric Tool",0.00560000000000000,FY26,Q1,Apr
"Milwaukee Electric Tool",0.00580000000000000,FY26,Q1,May
"Milwaukee Electric Tool",0.00560000000000000,FY26,Q1,Jun
"Mitsuboshi Restaurants ",0.00690000000000000,FY26,Q1,Apr
"Mitsuboshi Restaurants ",0.00710000000000000,FY26,Q1,May
"Mitsuboshi Restaurants ",0.00690000000000000,FY26,Q1,Jun
"MOS Food Global ASP",0.0132000000000000,FY26,Q1,Apr
"MOS Food Global ASP",0.0133000000000000,FY26,Q1,May
"MOS Food Global ASP",0.0132000000000000,FY26,Q1,Jun
"MSIG",0.00800000000000000,FY26,Q1,Apr
"MSIG",0.00800000000000000,FY26,Q1,May
"MSIG",0.00700000000000000,FY26,Q1,Jun
"NACHA",0.00700000000000000,FY26,Q1,Apr
"NACHA",0.00700000000000000,FY26,Q1,May
"NACHA",0.00700000000000000,FY26,Q1,Jun
"NBD - GBW",0,FY26,Q1,Apr
"NBD - GBW",0,FY26,Q1,May
"NBD - GBW",0,FY26,Q1,Jun
"NBD - Sonata - ANZ",0,FY26,Q1,Apr
"NBD - Sonata - ANZ",0,FY26,Q1,May
"NBD - Sonata - ANZ",0,FY26,Q1,Jun
"NBD - Sonata - APAC",0,FY26,Q1,Apr
"NBD - Sonata - APAC",0,FY26,Q1,May
"NBD - Sonata - APAC",0,FY26,Q1,Jun
"NBD - Sonata - EU",0.0383000000000000,FY26,Q1,Apr
"NBD - Sonata - EU",0,FY26,Q1,May
"NBD - Sonata - EU",0,FY26,Q1,Jun
"NBD - Sonata - UK",0.0120000000000000,FY26,Q1,Apr
"NBD - Sonata - UK",0,FY26,Q1,May
"NBD - Sonata - UK",0,FY26,Q1,Jun
"NBD - Sonata - US BFSI",0.0165000000000000,FY26,Q1,Apr
"NBD - Sonata - US BFSI",0.0170000000000000,FY26,Q1,May
"NBD - Sonata - US BFSI",0.0475000000000000,FY26,Q1,Jun
"NBD - Sonata - US HLS",0,FY26,Q1,Apr
"NBD - Sonata - US HLS",0,FY26,Q1,May
"NBD - Sonata - US HLS",0,FY26,Q1,Jun
"NBD - Sonata - US Retail & Mfg",0,FY26,Q1,Apr
"NBD - Sonata - US Retail & Mfg",0,FY26,Q1,May
"NBD - Sonata - US Retail & Mfg",0,FY26,Q1,Jun
"NBD - Sonata - US TMTE",0,FY26,Q1,Apr
"NBD - Sonata - US TMTE",0,FY26,Q1,May
"NBD - Sonata - US TMTE",0,FY26,Q1,Jun
"NCC Group",0,FY26,Q1,Apr
"NCC Group",0,FY26,Q1,May
"NCC Group",0.0240000000000000,FY26,Q1,Jun
"New Balance",0.0252000000000000,FY26,Q1,Apr
"New Balance",0.0253000000000000,FY26,Q1,May
"New Balance",0.0253000000000000,FY26,Q1,Jun
"New Business Deal",0,FY26,Q1,Apr
"New Business Deal",0,FY26,Q1,May
"New Business Deal",0,FY26,Q1,Jun
"Next Level Business Services, Inc.",0,FY26,Q1,Apr
"Next Level Business Services, Inc.",0,FY26,Q1,May
"Next Level Business Services, Inc.",0,FY26,Q1,Jun
"Nivel Parts ",0,FY26,Q1,Apr
"Nivel Parts ",0.0275000000000000,FY26,Q1,May
"Nivel Parts ",0,FY26,Q1,Jun
"Nordics Semiconductor",0,FY26,Q1,Apr
"Nordics Semiconductor",0,FY26,Q1,May
"Nordics Semiconductor",0,FY26,Q1,Jun
"Normet",0.298900000000000,FY26,Q1,Apr
"Normet",0.299200000000000,FY26,Q1,May
"Normet",0.301900000000000,FY26,Q1,Jun
"Northern Lakes Data Corp",0,FY26,Q1,Apr
"Northern Lakes Data Corp",0,FY26,Q1,May
"Northern Lakes Data Corp",0,FY26,Q1,Jun
"Northern Trust",0.0280000000000000,FY26,Q1,Apr
"Northern Trust",0.0280000000000000,FY26,Q1,May
"Northern Trust",0.0280000000000000,FY26,Q1,Jun
"NSW Ports ",0,FY26,Q1,Apr
"NSW Ports ",0,FY26,Q1,May
"NSW Ports ",0,FY26,Q1,Jun
"Oasis Group ",0.00740000000000000,FY26,Q1,Apr
"Oasis Group ",0.00950000000000000,FY26,Q1,May
"Oasis Group ",0.00700000000000000,FY26,Q1,Jun
"Omnicom",0.103534250000000,FY26,Q1,Apr
"Omnicom",0.105788500000000,FY26,Q1,May
"Omnicom",0.101445000000000,FY26,Q1,Jun
"Outform Group, Inc",0,FY26,Q1,Apr
"Outform Group, Inc",0,FY26,Q1,May
"Outform Group, Inc",0,FY26,Q1,Jun
"P&O Ferries Division",0.0370000000000000,FY26,Q1,Apr
"P&O Ferries Division",0.0340000000000000,FY26,Q1,May
"P&O Ferries Division",0.0320000000000000,FY26,Q1,Jun
"Parata Systems",0.00790000000000000,FY26,Q1,Apr
"Parata Systems",0.00820000000000000,FY26,Q1,May
"Parata Systems",0.00790000000000000,FY26,Q1,Jun
"Pennymac",1.12500000000000,FY26,Q1,Apr
"Pennymac",1.09400000000000,FY26,Q1,May
"Pennymac",1.08100000000000,FY26,Q1,Jun
"Peppermint",0.0380000000000000,FY26,Q1,Apr
"Peppermint",0.0391000000000000,FY26,Q1,May
"Peppermint",0.0380000000000000,FY26,Q1,Jun
"PepsiCo",0.0520000000000000,FY26,Q1,Apr
"PepsiCo",0.0473000000000000,FY26,Q1,May
"PepsiCo",0.0435000000000000,FY26,Q1,Jun
"Peregrine",0,FY26,Q1,Apr
"Peregrine",0,FY26,Q1,May
"Peregrine",0,FY26,Q1,Jun
"PNG Data Co",0.00930000000000000,FY26,Q1,Apr
"PNG Data Co",0,FY26,Q1,May
"PNG Data Co",0,FY26,Q1,Jun
"PointsKash",0,FY26,Q1,Apr
"PointsKash",0,FY26,Q1,May
"PointsKash",0,FY26,Q1,Jun
"Polypore",0,FY26,Q1,Apr
"Polypore",0,FY26,Q1,May
"Polypore",0,FY26,Q1,Jun
"Pope Packaging",0.0476000000000000,FY26,Q1,Apr
"Pope Packaging",0.00200000000000000,FY26,Q1,May
"Pope Packaging",0.00200000000000000,FY26,Q1,Jun
"PPC Flexible Packaging",0,FY26,Q1,Apr
"PPC Flexible Packaging",0,FY26,Q1,May
"PPC Flexible Packaging",0,FY26,Q1,Jun
"Precision Autonomy",0,FY26,Q1,Apr
"Precision Autonomy",0,FY26,Q1,May
"Precision Autonomy",0,FY26,Q1,Jun
"Premier Lotteries Ireland DAC ",0.0420000000000000,FY26,Q1,Apr
"Premier Lotteries Ireland DAC ",0.0170000000000000,FY26,Q1,May
"Premier Lotteries Ireland DAC ",0.0170000000000000,FY26,Q1,Jun
"Primeline",-0.0850000000000000,FY26,Q1,Apr
"Primeline",0.0150000000000000,FY26,Q1,May
"Primeline",0.0150000000000000,FY26,Q1,Jun
"Print Syndicate",0,FY26,Q1,Apr
"Print Syndicate",0,FY26,Q1,May
"Print Syndicate",0,FY26,Q1,Jun
"Prodigy Healthcare",0,FY26,Q1,Apr
"Prodigy Healthcare",0,FY26,Q1,May
"Prodigy Healthcare",0,FY26,Q1,Jun
"QuarkCity",0.00100000000000000,FY26,Q1,Apr
"QuarkCity",0.00100000000000000,FY26,Q1,May
"QuarkCity",0.00100000000000000,FY26,Q1,Jun
"Quest",0,FY26,Q1,Apr
"Quest",0,FY26,Q1,May
"Quest",0,FY26,Q1,Jun
"Ralph Lauren Sourcing India LLP",0,FY26,Q1,Apr
"Ralph Lauren Sourcing India LLP",0,FY26,Q1,May
"Ralph Lauren Sourcing India LLP",0,FY26,Q1,Jun
"Rambus",0,FY26,Q1,Apr
"Rambus",0,FY26,Q1,May
"Rambus",0,FY26,Q1,Jun
"Randstad",0,FY26,Q1,Apr
"Randstad",0,FY26,Q1,May
"Randstad",0,FY26,Q1,Jun
"Ranstad (Walmart India)",0,FY26,Q1,Apr
"Ranstad (Walmart India)",0,FY26,Q1,May
"Ranstad (Walmart India)",0,FY26,Q1,Jun
"Rarik",0,FY26,Q1,Apr
"Rarik",0,FY26,Q1,May
"Rarik",0,FY26,Q1,Jun
"Red Hill Ventures",0,FY26,Q1,Apr
"Red Hill Ventures",0,FY26,Q1,May
"Red Hill Ventures",0,FY26,Q1,Jun
"Reliance steel",0,FY26,Q1,Apr
"Reliance steel",0,FY26,Q1,May
"Reliance steel",0,FY26,Q1,Jun
"Republic Bank",0.150000000000000,FY26,Q1,Apr
"Republic Bank",0.200000000000000,FY26,Q1,May
"Republic Bank",0.300000000000000,FY26,Q1,Jun
"Reynolds Consumer products ",0.00700000000000000,FY26,Q1,Apr
"Reynolds Consumer products ",0.0240000000000000,FY26,Q1,May
"Reynolds Consumer products ",0.0250000000000000,FY26,Q1,Jun
"Ricetec",0,FY26,Q1,Apr
"Ricetec",0,FY26,Q1,May
"Ricetec",0,FY26,Q1,Jun
"Ridley",0.0473000000000000,FY26,Q1,Apr
"Ridley",0,FY26,Q1,May
"Ridley",0,FY26,Q1,Jun
"Ring Publications LLC",0,FY26,Q1,Apr
"Ring Publications LLC",0,FY26,Q1,May
"Ring Publications LLC",0,FY26,Q1,Jun
"Rizz Wireless LLC",0.116800000000000,FY26,Q1,Apr
"Rizz Wireless LLC",0.120400000000000,FY26,Q1,May
"Rizz Wireless LLC",0.116800000000000,FY26,Q1,Jun
"R-kioski",0,FY26,Q1,Apr
"R-kioski",0,FY26,Q1,May
"R-kioski",0,FY26,Q1,Jun
"Ronstan",0.0397000000000000,FY26,Q1,Apr
"Ronstan",0,FY26,Q1,May
"Ronstan",0,FY26,Q1,Jun
"Rovia (World Venture)",0,FY26,Q1,Apr
"Rovia (World Venture)",0,FY26,Q1,May
"Rovia (World Venture)",0,FY26,Q1,Jun
"Rythoms Inc",0,FY26,Q1,Apr
"Rythoms Inc",0,FY26,Q1,May
"Rythoms Inc",0,FY26,Q1,Jun
"Sage Software",0,FY26,Q1,Apr
"Sage Software",0,FY26,Q1,May
"Sage Software",0,FY26,Q1,Jun
"Sally Beauty",0,FY26,Q1,Apr
"Sally Beauty",0,FY26,Q1,May
"Sally Beauty",0,FY26,Q1,Jun
"Samsung Group",0,FY26,Q1,Apr
"Samsung Group",0,FY26,Q1,May
"Samsung Group",0,FY26,Q1,Jun
"Sanford Australia Pty. Ltd.",0.0150000000000000,FY26,Q1,Apr
"Sanford Australia Pty. Ltd.",0,FY26,Q1,May
"Sanford Australia Pty. Ltd.",0,FY26,Q1,Jun
"SCALZO",0.000200000000000000,FY26,Q1,Apr
"SCALZO",0,FY26,Q1,May
"SCALZO",0,FY26,Q1,Jun
"SCE ",0,FY26,Q1,Apr
"SCE ",0,FY26,Q1,May
"SCE ",0,FY26,Q1,Jun
"Schnitz",0.00190000000000000,FY26,Q1,Apr
"Schnitz",0.00200000000000000,FY26,Q1,May
"Schnitz",0.00190000000000000,FY26,Q1,Jun
"Scyne Advisory",0,FY26,Q1,Apr
"Scyne Advisory",0,FY26,Q1,May
"Scyne Advisory",0,FY26,Q1,Jun
"Sensormatic JCI",0,FY26,Q1,Apr
"Sensormatic JCI",0,FY26,Q1,May
"Sensormatic JCI",0,FY26,Q1,Jun
"SGP",0,FY26,Q1,Apr
"SGP",0,FY26,Q1,May
"SGP",0,FY26,Q1,Jun
"Shamrock Foods Company",0,FY26,Q1,Apr
"Shamrock Foods Company",0,FY26,Q1,May
"Shamrock Foods Company",0,FY26,Q1,Jun
"She Jobs",0.281900000000000,FY26,Q1,Apr
"She Jobs",0.290500000000000,FY26,Q1,May
"She Jobs",0.281900000000000,FY26,Q1,Jun
"Shell",0.0102000000000000,FY26,Q1,Apr
"Shell",0.0105000000000000,FY26,Q1,May
"Shell",0.0302000000000000,FY26,Q1,Jun
"Sinequa",0.00288000000000000,FY26,Q1,Apr
"Sinequa",0.00396000000000000,FY26,Q1,May
"Sinequa",0.00360000000000000,FY26,Q1,Jun
"Sketchers",0.00360000000000000,FY26,Q1,Apr
"Sketchers",0.00370000000000000,FY26,Q1,May
"Sketchers",0.00360000000000000,FY26,Q1,Jun
"Sleep Number Corporation",0,FY26,Q1,Apr
"Sleep Number Corporation",0,FY26,Q1,May
"Sleep Number Corporation",0,FY26,Q1,Jun
"Solera Auto Finance",0.00200000000000000,FY26,Q1,Apr
"Solera Auto Finance",0.00210000000000000,FY26,Q1,May
"Solera Auto Finance",0.00200000000000000,FY26,Q1,Jun
"Solta",0.181500000000000,FY26,Q1,Apr
"Solta",0.187000000000000,FY26,Q1,May
"Solta",0.181500000000000,FY26,Q1,Jun
"Sony",0.180000000000000,FY26,Q1,Apr
"Sony",0.167500000000000,FY26,Q1,May
"Sony",0.187500000000000,FY26,Q1,Jun
"Southern Glazer",0.0580000000000000,FY26,Q1,Apr
"Southern Glazer",0.0597000000000000,FY26,Q1,May
"Southern Glazer",0.0580000000000000,FY26,Q1,Jun
"SPAR",0.000600000000000000,FY26,Q1,Apr
"SPAR",0.000600000000000000,FY26,Q1,May
"SPAR",0.000600000000000000,FY26,Q1,Jun
"Spotlight",0.0880000000000000,FY26,Q1,Apr
"Spotlight",0.103000000000000,FY26,Q1,May
"Spotlight",0.109000000000000,FY26,Q1,Jun
"SST LLC",0,FY26,Q1,Apr
"SST LLC",0,FY26,Q1,May
"SST LLC",0,FY26,Q1,Jun
"ST1 Oy",0.0119000000000000,FY26,Q1,Apr
"ST1 Oy",0.0122000000000000,FY26,Q1,May
"ST1 Oy",0.0119000000000000,FY26,Q1,Jun
"Stockton Soda",0.0430000000000000,FY26,Q1,Apr
"Stockton Soda",0.0440000000000000,FY26,Q1,May
"Stockton Soda",0.0430000000000000,FY26,Q1,Jun
"Sunrise",0.00140000000000000,FY26,Q1,Apr
"Sunrise",0.00170000000000000,FY26,Q1,May
"Sunrise",0.00170000000000000,FY26,Q1,Jun
"Symetra",0.0660000000000000,FY26,Q1,Apr
"Symetra",0.0680000000000000,FY26,Q1,May
"Symetra",0.0660000000000000,FY26,Q1,Jun
"Sysco",0,FY26,Q1,Apr
"Sysco",0,FY26,Q1,May
"Sysco",0,FY26,Q1,Jun
"TATA Motors Finance Limited.",0,FY26,Q1,Apr
"TATA Motors Finance Limited.",0,FY26,Q1,May
"TATA Motors Finance Limited.",0,FY26,Q1,Jun
"Tatts",0.0530000000000000,FY26,Q1,Apr
"Tatts",0.0546000000000000,FY26,Q1,May
"Tatts",0.0530000000000000,FY26,Q1,Jun
"TBN",0,FY26,Q1,Apr
"TBN",0,FY26,Q1,May
"TBN",0,FY26,Q1,Jun
"Tempur-Pedic",0,FY26,Q1,Apr
"Tempur-Pedic",0,FY26,Q1,May
"Tempur-Pedic",0,FY26,Q1,Jun
"TerryWhite Chemmart",0.0117000000000000,FY26,Q1,Apr
"TerryWhite Chemmart",0.0317000000000000,FY26,Q1,May
"TerryWhite Chemmart",0.0337000000000000,FY26,Q1,Jun
"Tesco",0.103000000000000,FY26,Q1,Apr
"Tesco",0,FY26,Q1,May
"Tesco",0,FY26,Q1,Jun
"The Oved Group",0,FY26,Q1,Apr
"The Oved Group",0,FY26,Q1,May
"The Oved Group",0,FY26,Q1,Jun
"Theravance",0.00990000000000000,FY26,Q1,Apr
"Theravance",0.0102000000000000,FY26,Q1,May
"Theravance",0.00990000000000000,FY26,Q1,Jun
"Timken",0,FY26,Q1,Apr
"Timken",0,FY26,Q1,May
"Timken",0,FY26,Q1,Jun
"TMS",0.132000000000000,FY26,Q1,Apr
"TMS",0.0783000000000000,FY26,Q1,May
"TMS",0.470000000000000,FY26,Q1,Jun
"TORI Global",0,FY26,Q1,Apr
"TORI Global",0,FY26,Q1,May
"TORI Global",0,FY26,Q1,Jun
"Trident USA Health Service",0.0660000000000000,FY26,Q1,Apr
"Trident USA Health Service",0.0710000000000000,FY26,Q1,May
"Trident USA Health Service",0.0720000000000000,FY26,Q1,Jun
"Trifecta Nutrition Inc",0.00148500000000000,FY26,Q1,Apr
"Trifecta Nutrition Inc",0.00270000000000000,FY26,Q1,May
"Trifecta Nutrition Inc",0.00280000000000000,FY26,Q1,Jun
"Truist",2.13200000000000,FY26,Q1,Apr
"Truist",2.33200000000000,FY26,Q1,May
"Truist",2.33200000000000,FY26,Q1,Jun
"TUI UK",1.47000000000000,FY26,Q1,Apr
"TUI UK",1.50000000000000,FY26,Q1,May
"TUI UK",1.83000000000000,FY26,Q1,Jun
"UKG Inc",0.0595150000000000,FY26,Q1,Apr
"UKG Inc",0.0757900000000000,FY26,Q1,May
"UKG Inc",0.0650980000000000,FY26,Q1,Jun
"UniPro Foodservice",0,FY26,Q1,Apr
"UniPro Foodservice",0.0500000000000000,FY26,Q1,May
"UniPro Foodservice",0,FY26,Q1,Jun
"Uniting Church",0.00190000000000000,FY26,Q1,Apr
"Uniting Church",0,FY26,Q1,May
"Uniting Church",0,FY26,Q1,Jun
"Ventura Foods",0.238500000000000,FY26,Q1,Apr
"Ventura Foods",0.273500000000000,FY26,Q1,May
"Ventura Foods",0.328500000000000,FY26,Q1,Jun
"Walmart (US)",0,FY26,Q1,Apr
"Walmart (US)",0,FY26,Q1,May
"Walmart (US)",0,FY26,Q1,Jun
"Wavetec/Alcon",0,FY26,Q1,Apr
"Wavetec/Alcon",0,FY26,Q1,May
"Wavetec/Alcon",0,FY26,Q1,Jun
"Wesfarers Health",0,FY26,Q1,Apr
"Wesfarers Health",0,FY26,Q1,May
"Wesfarers Health",0,FY26,Q1,Jun
"Western Union",1.20600000000000,FY26,Q1,Apr
"Western Union",1.32000000000000,FY26,Q1,May
"Western Union",1.27000000000000,FY26,Q1,Jun
"Westway Feeds",0,FY26,Q1,Apr
"Westway Feeds",0,FY26,Q1,May
"Westway Feeds",0,FY26,Q1,Jun
"Widex",0.0950000000000000,FY26,Q1,Apr
"Widex",0.0950000000000000,FY26,Q1,May
"Widex",0.0900000000000000,FY26,Q1,Jun
"Wolters Kluver",0.0648936200000000,FY26,Q1,Apr
"Wolters Kluver",0.0648936200000000,FY26,Q1,May
"Wolters Kluver",0.0426297600000000,FY26,Q1,Jun
"World Vision Canada",0.0363919855500000,FY26,Q1,Apr
"World Vision Canada",0.0367460001000000,FY26,Q1,May
"World Vision Canada",0.0316497310000000,FY26,Q1,Jun
"Yerralpha LLC",0,FY26,Q1,Apr
"Yerralpha LLC",0,FY26,Q1,May
"Yerralpha LLC",0,FY26,Q1,Jun
"YUM A & W Okinawa",0.000800000000000000,FY26,Q1,Apr
"YUM A & W Okinawa",0.000900000000000000,FY26,Q1,May
"YUM A & W Okinawa",0.000800000000000000,FY26,Q1,Jun
"Zones",0.0500000000000000,FY26,Q1,Apr
"Zones",0.100000000000000,FY26,Q1,May
"Zones",0.140000000000000,FY26,Q1,Jun
"Zoyili World LLC",0.250000000000000,FY26,Q1,Apr
"Zoyili World LLC",0.250000000000000,FY26,Q1,May
"Zoyili World LLC",0.250000000000000,FY26,Q1,Jun
"Zuora",0,FY26,Q1,Apr
"Zuora",0.0167184000000000,FY26,Q1,May
"Zuora",0.00777600000000000,FY26,Q1,Jun
"Zurn Industries",0.112200000000000,FY26,Q1,Apr
"Zurn Industries",0.145000000000000,FY26,Q1,May
"Zurn Industries",0.143400000000000,FY26,Q1,Jun
"A&W",0,FY26,Q2,Jul
"A&W",0,FY26,Q2,Aug
"A&W",0,FY26,Q2,Sep
"Aareon",0.139600000000000,FY26,Q2,Jul
"Aareon",0.0408000000000000,FY26,Q2,Aug
"Aareon",0.0396000000000000,FY26,Q2,Sep
"ABFRL",0.145200000000000,FY26,Q2,Jul
"ABFRL",0.149600000000000,FY26,Q2,Aug
"ABFRL",0.145200000000000,FY26,Q2,Sep
"Accutech Digital Consulting LLC",0,FY26,Q2,Jul
"Accutech Digital Consulting LLC",0,FY26,Q2,Aug
"Accutech Digital Consulting LLC",0,FY26,Q2,Sep
"ACTS",0.0448400000000000,FY26,Q2,Jul
"ACTS",0.0408600000000000,FY26,Q2,Aug
"ACTS",0.0415800000000000,FY26,Q2,Sep
"Advance Auto Parts (AAP)",0,FY26,Q2,Jul
"Advance Auto Parts (AAP)",0,FY26,Q2,Aug
"Advance Auto Parts (AAP)",0,FY26,Q2,Sep
"AI Chatbot License",0,FY26,Q2,Jul
"AI Chatbot License",0,FY26,Q2,Aug
"AI Chatbot License",0,FY26,Q2,Sep
"Airlife",0.0413000000000000,FY26,Q2,Jul
"Airlife",0.0425000000000000,FY26,Q2,Aug
"Airlife",0.0413000000000000,FY26,Q2,Sep
"Aledade",0.0370000000000000,FY26,Q2,Jul
"Aledade",0.0370000000000000,FY26,Q2,Aug
"Aledade",0.0370000000000000,FY26,Q2,Sep
"Allied Pinnacle",0.00200000000000000,FY26,Q2,Jul
"Allied Pinnacle",0.00200000000000000,FY26,Q2,Aug
"Allied Pinnacle",0.00200000000000000,FY26,Q2,Sep
"AllTech",0.0495000000000000,FY26,Q2,Jul
"AllTech",0.0510000000000000,FY26,Q2,Aug
"AllTech",0.0495000000000000,FY26,Q2,Sep
"Alpha Luna",0.150000000000000,FY26,Q2,Jul
"Alpha Luna",0.150000000000000,FY26,Q2,Aug
"Alpha Luna",0.150000000000000,FY26,Q2,Sep
"Alteon Health",0,FY26,Q2,Jul
"Alteon Health",0,FY26,Q2,Aug
"Alteon Health",0,FY26,Q2,Sep
"Amalgamated Bank",0,FY26,Q2,Jul
"Amalgamated Bank",0,FY26,Q2,Aug
"Amalgamated Bank",0,FY26,Q2,Sep
"Amazon Australia & Japan Ecom",0.00140000000000000,FY26,Q2,Jul
"Amazon Australia & Japan Ecom",0.00140000000000000,FY26,Q2,Aug
"Amazon Australia & Japan Ecom",0.00140000000000000,FY26,Q2,Sep
"Amazon Fresh",0,FY26,Q2,Jul
"Amazon Fresh",0,FY26,Q2,Aug
"Amazon Fresh",0,FY26,Q2,Sep
"Amex",0,FY26,Q2,Jul
"Amex",0,FY26,Q2,Aug
"Amex",0,FY26,Q2,Sep
"Ammega Group",0.247500000000000,FY26,Q2,Jul
"Ammega Group",0.255000000000000,FY26,Q2,Aug
"Ammega Group",0.247500000000000,FY26,Q2,Sep
"API",0.00260000000000000,FY26,Q2,Jul
"API",0.00270000000000000,FY26,Q2,Aug
"API",0.00260000000000000,FY26,Q2,Sep
"Apogee Corporation",0,FY26,Q2,Jul
"Apogee Corporation",0,FY26,Q2,Aug
"Apogee Corporation",0,FY26,Q2,Sep
"AppianRX",0,FY26,Q2,Jul
"AppianRX",0,FY26,Q2,Aug
"AppianRX",0,FY26,Q2,Sep
"Apple",0,FY26,Q2,Jul
"Apple",0,FY26,Q2,Aug
"Apple",0,FY26,Q2,Sep
"Applied Systems",0,FY26,Q2,Jul
"Applied Systems",0,FY26,Q2,Aug
"Applied Systems",0,FY26,Q2,Sep
"Aquent",0.0706830480000000,FY26,Q2,Jul
"Aquent",0.0641863440000000,FY26,Q2,Aug
"Aquent",0.0687098160000000,FY26,Q2,Sep
"Arbor Pharmaceuticals",0,FY26,Q2,Jul
"Arbor Pharmaceuticals",0,FY26,Q2,Aug
"Arbor Pharmaceuticals",0,FY26,Q2,Sep
"Aristocrat Technologies",0.0180000000000000,FY26,Q2,Jul
"Aristocrat Technologies",0.0180000000000000,FY26,Q2,Aug
"Aristocrat Technologies",0.0180000000000000,FY26,Q2,Sep
"ARTIN Solutions",0,FY26,Q2,Jul
"ARTIN Solutions",0,FY26,Q2,Aug
"ARTIN Solutions",0,FY26,Q2,Sep
"Assa Abloy",0,FY26,Q2,Jul
"Assa Abloy",0,FY26,Q2,Aug
"Assa Abloy",0,FY26,Q2,Sep
"Assa Abloy ANZ",0.198000000000000,FY26,Q2,Jul
"Assa Abloy ANZ",0.204000000000000,FY26,Q2,Aug
"Assa Abloy ANZ",0.198000000000000,FY26,Q2,Sep
"AstraZeneca",0,FY26,Q2,Jul
"AstraZeneca",0,FY26,Q2,Aug
"AstraZeneca",0,FY26,Q2,Sep
"Audax Management",0,FY26,Q2,Jul
"Audax Management",0,FY26,Q2,Aug
"Audax Management",0,FY26,Q2,Sep
"Ausreo",0.0178000000000000,FY26,Q2,Jul
"Ausreo",0.0183000000000000,FY26,Q2,Aug
"Ausreo",0.0178000000000000,FY26,Q2,Sep
"Australia Post (AFSL) MS",0.00562200000000000,FY26,Q2,Jul
"Australia Post (AFSL) MS",0.00562200000000000,FY26,Q2,Aug
"Australia Post (AFSL) MS",0.00562200000000000,FY26,Q2,Sep
"Avery Dennison",0,FY26,Q2,Jul
"Avery Dennison",0,FY26,Q2,Aug
"Avery Dennison",0,FY26,Q2,Sep
"Bakers Delight",0,FY26,Q2,Jul
"Bakers Delight",0,FY26,Q2,Aug
"Bakers Delight",0,FY26,Q2,Sep
"Bayer",0,FY26,Q2,Jul
"Bayer",0,FY26,Q2,Aug
"Bayer",0,FY26,Q2,Sep
"BCBS_LA ",0.120000000000000,FY26,Q2,Jul
"BCBS_LA ",0.120000000000000,FY26,Q2,Aug
"BCBS_LA ",0.120000000000000,FY26,Q2,Sep
"BenBridge",0.0495000000000000,FY26,Q2,Jul
"BenBridge",0.0510000000000000,FY26,Q2,Aug
"BenBridge",0.0495000000000000,FY26,Q2,Sep
"Berry Global",0.200000000000000,FY26,Q2,Jul
"Berry Global",0.128000000000000,FY26,Q2,Aug
"Berry Global",0.100000000000000,FY26,Q2,Sep
"BHPetrol Malaysia",0.00430000000000000,FY26,Q2,Jul
"BHPetrol Malaysia",0.00440000000000000,FY26,Q2,Aug
"BHPetrol Malaysia",0.00430000000000000,FY26,Q2,Sep
"Biomatrix",0.0116000000000000,FY26,Q2,Jul
"Biomatrix",0.0119000000000000,FY26,Q2,Aug
"Biomatrix",0.0116000000000000,FY26,Q2,Sep
"Bluechip International ",0.00400000000000000,FY26,Q2,Jul
"Bluechip International ",0.00410000000000000,FY26,Q2,Aug
"Bluechip International ",0.00400000000000000,FY26,Q2,Sep
"Bluecrest",0,FY26,Q2,Jul
"Bluecrest",0,FY26,Q2,Aug
"Bluecrest",0,FY26,Q2,Sep
"Blueleaf Energy",0.0312000000000000,FY26,Q2,Jul
"Blueleaf Energy",0.0187000000000000,FY26,Q2,Aug
"Blueleaf Energy",0.0182000000000000,FY26,Q2,Sep
"Bluestem Brands",0.700000000000000,FY26,Q2,Jul
"Bluestem Brands",0.800000000000000,FY26,Q2,Aug
"Bluestem Brands",0.850000000000000,FY26,Q2,Sep
"BUS QLD",0.000200000000000000,FY26,Q2,Jul
"BUS QLD",0.000200000000000000,FY26,Q2,Aug
