Customer,Total_Revenue,FinancialYear,Quarter,Month,BU,GM%
Kaiser Permanente,0.0,FY26,Q1,May,US HLS,0.0
Kaiser Permanente,0.0,FY26,Q1,Jun,US HLS,0.0
Kent Water Sports,0.0,FY26,Q1,Apr,,
Kent Water Sports,0.0,FY26,Q1,May,,
Kent Water Sports,0.0,FY26,Q1,Jun,,
Kenvue,0.0,FY26,Q1,Apr,,
Kenvue,0.0,FY26,Q1,May,,
Kenvue,0.0,FY26,Q1,Jun,,
Kiosk Collective,0.0,FY26,Q1,Apr,,
Kiosk Collective,0.0,FY26,Q1,May,,
Kiosk Collective,0.0,FY26,Q1,Jun,,
KLA Corporation,0.0064,FY26,Q1,Apr,US RMD,0.5142172020725388
KLA Corporation,0.0066,FY26,Q1,May,US RMD,0.5142172020725388
KLA Corporation,0.0064,FY26,Q1,Jun,US RMD,0.5142172020725388
Kloud9,0.003,FY26,Q1,Apr,,
Kloud9,0.003,FY26,Q1,May,,
Kloud9,0.0031,FY26,Q1,Jun,,
Komatsu Australia,0.0116,FY26,Q1,Apr,,
Komatsu Australia,0.0119,FY26,Q1,May,,
Komatsu Australia,0.0116,FY26,Q1,Jun,,
Kura Sushi,0.0,FY26,Q1,Apr,,
Kura Sushi,0.0,FY26,Q1,May,,
Kura Sushi,0.0,FY26,Q1,Jun,,
Kyndryl,0.0474,FY26,Q1,Apr,,
Kyndryl,0.0488,FY26,Q1,May,,
Kyndryl,0.0474,FY26,Q1,Jun,,
Kyochon ,0.0,FY26,Q1,Apr,,
Kyochon ,0.0,FY26,Q1,May,,
Kyochon ,0.0,FY26,Q1,Jun,,
Kyowa Kirin,0.1155,FY26,Q1,Apr,,
Kyowa Kirin,0.05,FY26,Q1,May,,
Kyowa Kirin,0.05,FY26,Q1,Jun,,
Leiters Enterprises,0.0119,FY26,Q1,Apr,US HLS,0.51421716
Leiters Enterprises,0.0122,FY26,Q1,May,US HLS,0.51421716
Leiters Enterprises,0.0119,FY26,Q1,Jun,US HLS,0.51421716
Lifescan,0.0149,FY26,Q1,Apr,US HLS,0.65995202
Lifescan,0.02,FY26,Q1,May,US HLS,0.65995202
Lifescan,0.018,FY26,Q1,Jun,US HLS,0.65995202
LIMN Labs,0.0,FY26,Q1,Apr,,
LIMN Labs,0.0,FY26,Q1,May,,
LIMN Labs,0.0,FY26,Q1,Jun,,
LoanDepot,0.1,FY26,Q1,Apr,,
LoanDepot,0.1,FY26,Q1,May,,
LoanDepot,0.12,FY26,Q1,Jun,,
Logitec,0.044208,FY26,Q1,Apr,US TMTE,0.6599520267171196
Logitec,0.0441381818181819,FY26,Q1,May,US TMTE,0.6599520267171196
Logitec,0.0433,FY26,Q1,Jun,US TMTE,0.6599520267171196
Lolli and Pops,0.0,FY26,Q1,Apr,,
Lolli and Pops,0.0,FY26,Q1,May,,
Lolli and Pops,0.0,FY26,Q1,Jun,,
Louis Dreyfus,0.27,FY26,Q1,Apr,EU,0.47998478552162166
Louis Dreyfus,0.0,FY26,Q1,May,EU,0.47998478552162166
Louis Dreyfus,0.0,FY26,Q1,Jun,EU,0.47998478552162166
Lowe’s Services,0.0152,FY26,Q1,Apr,,
Lowe’s Services,0.0156,FY26,Q1,May,,
Lowe’s Services,0.0152,FY26,Q1,Jun,,
LVMH,0.0,FY26,Q1,Apr,,
LVMH,0.0,FY26,Q1,May,,
LVMH,0.0,FY26,Q1,Jun,,
Mahindra & Mahindra FS,0.0,FY26,Q1,Apr,US BFSI,0.4999853839873553
Mahindra & Mahindra FS,0.0,FY26,Q1,May,US BFSI,0.4999853839873553
Mahindra & Mahindra FS,0.01,FY26,Q1,Jun,US BFSI,0.4999853839873553
Mainstream Renewable Power,0.0142,FY26,Q1,Apr,UK IRELAND,0.5597434574115364
Mainstream Renewable Power,0.0146,FY26,Q1,May,UK IRELAND,0.5597434574115364
Mainstream Renewable Power,0.0142,FY26,Q1,Jun,UK IRELAND,0.5597434574115364
Marketforce,0.05,FY26,Q1,Apr,,
Marketforce,0.05,FY26,Q1,May,,
Marketforce,0.05,FY26,Q1,Jun,,
Matson Navigation Company,0.561,FY26,Q1,Apr,US RMD,0.4443472419047619
Matson Navigation Company,0.578,FY26,Q1,May,US RMD,0.4443472419047619
Matson Navigation Company,0.561,FY26,Q1,Jun,US RMD,0.4443472419047619
Mattson Technology Inc,0.04190295,FY26,Q1,Apr,US TMTE,0.35337650835636486
Mattson Technology Inc,0.03181415,FY26,Q1,May,US TMTE,0.35337650835636486
Mattson Technology Inc,0.039138,FY26,Q1,Jun,US TMTE,0.35337650835636486
MCA Connect ,0.007,FY26,Q1,Apr,,
MCA Connect ,0.007,FY26,Q1,May,,
MCA Connect ,0.007,FY26,Q1,Jun,,
McDonalds MS,0.0302,FY26,Q1,Apr,,
McDonalds MS,0.0311,FY26,Q1,May,,
McDonalds MS,0.0302,FY26,Q1,Jun,,
Medidata,0.05,FY26,Q1,Apr,US HLS,0.39634204999999995
Medidata,0.055,FY26,Q1,May,US HLS,0.39634204999999995
Medidata,0.055,FY26,Q1,Jun,US HLS,0.39634204999999995
"Meta Platforms Technologies, LLC",0.1043,FY26,Q1,Apr,,
"Meta Platforms Technologies, LLC",0.1074,FY26,Q1,May,,
"Meta Platforms Technologies, LLC",0.3493,FY26,Q1,Jun,,
Metcash Limited ,0.0059,FY26,Q1,Apr,ANZ,0.4579993147025637
Metcash Limited ,0.0059,FY26,Q1,May,ANZ,0.4579993147025637
Metcash Limited ,0.0059,FY26,Q1,Jun,ANZ,0.4579993147025637
Metricstream,0.0027216,FY26,Q1,Apr,,
Metricstream,0.0028512,FY26,Q1,May,,
Metricstream,0.0,FY26,Q1,Jun,,
Metro Cash & Carry,0.0,FY26,Q1,Apr,,
Metro Cash & Carry,0.0,FY26,Q1,May,,
Metro Cash & Carry,0.0,FY26,Q1,Jun,,
Michael Hill,0.0526,FY26,Q1,Apr,ANZ,0.6084137611111111
Michael Hill,0.0418,FY26,Q1,May,ANZ,0.6084137611111111
Michael Hill,0.0406,FY26,Q1,Jun,ANZ,0.6084137611111111
Microsoft Global Account,4.81,FY26,Q1,Apr,,
Microsoft Global Account,5.02,FY26,Q1,May,,
Microsoft Global Account,5.2229,FY26,Q1,Jun,,
Milton Cat,0.0099,FY26,Q1,Apr,US RMD,0.0
Milton Cat,0.0102,FY26,Q1,May,US RMD,0.0
Milton Cat,0.0099,FY26,Q1,Jun,US RMD,0.0
Milwaukee Electric Tool,0.0056,FY26,Q1,Apr,,
Milwaukee Electric Tool,0.0058,FY26,Q1,May,,
Milwaukee Electric Tool,0.0056,FY26,Q1,Jun,,
Mitsuboshi Restaurants ,0.0069,FY26,Q1,Apr,,
Mitsuboshi Restaurants ,0.0071,FY26,Q1,May,,
Mitsuboshi Restaurants ,0.0069,FY26,Q1,Jun,,
MOS Food Global ASP,0.0132,FY26,Q1,Apr,,
MOS Food Global ASP,0.0133,FY26,Q1,May,,
MOS Food Global ASP,0.0132,FY26,Q1,Jun,,
MSIG,0.008,FY26,Q1,Apr,US TMTE,0.3194233196195887
MSIG,0.008,FY26,Q1,May,US TMTE,0.3194233196195887
MSIG,0.007,FY26,Q1,Jun,US TMTE,0.3194233196195887
NACHA,0.007,FY26,Q1,Apr,US BFSI,0.59194243
NACHA,0.007,FY26,Q1,May,US BFSI,0.59194243
NACHA,0.007,FY26,Q1,Jun,US BFSI,0.59194243
NBD - GBW,0.0,FY26,Q1,Apr,,
NBD - GBW,0.0,FY26,Q1,May,,
NBD - GBW,0.0,FY26,Q1,Jun,,
NBD - Sonata - ANZ,0.0,FY26,Q1,Apr,ANZ,0.47142834731816075
NBD - Sonata - ANZ,0.0,FY26,Q1,May,ANZ,0.47142834731816075
NBD - Sonata - ANZ,0.0,FY26,Q1,Jun,ANZ,0.47142834731816075
NBD - Sonata - APAC,0.0,FY26,Q1,Apr,,
NBD - Sonata - APAC,0.0,FY26,Q1,May,,
NBD - Sonata - APAC,0.0,FY26,Q1,Jun,,
NBD - Sonata - EU,0.0383,FY26,Q1,Apr,EU,0.5101102177703647
NBD - Sonata - EU,0.0,FY26,Q1,May,EU,0.5101102177703647
NBD - Sonata - EU,0.0,FY26,Q1,Jun,EU,0.5101102177703647
NBD - Sonata - UK,0.012,FY26,Q1,Apr,UK IRELAND,0.5430511343760543
NBD - Sonata - UK,0.0,FY26,Q1,May,UK IRELAND,0.5430511343760543
NBD - Sonata - UK,0.0,FY26,Q1,Jun,UK IRELAND,0.5430511343760543
NBD - Sonata - US BFSI,0.0165,FY26,Q1,Apr,US BFSI,0.503776445
NBD - Sonata - US BFSI,0.017,FY26,Q1,May,US BFSI,0.503776445
NBD - Sonata - US BFSI,0.0475,FY26,Q1,Jun,US BFSI,0.503776445
NBD - Sonata - US HLS,0.0,FY26,Q1,Apr,US HLS,0.5329660654023207
NBD - Sonata - US HLS,0.0,FY26,Q1,May,US HLS,0.5329660654023207
NBD - Sonata - US HLS,0.0,FY26,Q1,Jun,US HLS,0.5329660654023207
NBD - Sonata - US Retail & Mfg,0.0,FY26,Q1,Apr,US RMD,0.513506320038667
NBD - Sonata - US Retail & Mfg,0.0,FY26,Q1,May,US RMD,0.513506320038667
NBD - Sonata - US Retail & Mfg,0.0,FY26,Q1,Jun,US RMD,0.513506320038667
NBD - Sonata - US TMTE,0.0,FY26,Q1,Apr,US TMTE,0.4940465715678715
NBD - Sonata - US TMTE,0.0,FY26,Q1,May,US TMTE,0.4940465715678715
NBD - Sonata - US TMTE,0.0,FY26,Q1,Jun,US TMTE,0.4940465715678715
NCC Group,0.0,FY26,Q1,Apr,UK IRELAND,0.0
NCC Group,0.0,FY26,Q1,May,UK IRELAND,0.0
NCC Group,0.024,FY26,Q1,Jun,UK IRELAND,0.0
New Balance,0.0252,FY26,Q1,Apr,,
New Balance,0.0253,FY26,Q1,May,,
New Balance,0.0253,FY26,Q1,Jun,,
New Business Deal,0.0,FY26,Q1,Apr,,
New Business Deal,0.0,FY26,Q1,May,,
New Business Deal,0.0,FY26,Q1,Jun,,
"Next Level Business Services, Inc.",0.0,FY26,Q1,Apr,,
"Next Level Business Services, Inc.",0.0,FY26,Q1,May,,
"Next Level Business Services, Inc.",0.0,FY26,Q1,Jun,,
Nivel Parts ,0.0,FY26,Q1,Apr,,
Nivel Parts ,0.0275,FY26,Q1,May,,
Nivel Parts ,0.0,FY26,Q1,Jun,,
Nordics Semiconductor,0.0,FY26,Q1,Apr,,
Nordics Semiconductor,0.0,FY26,Q1,May,,
Nordics Semiconductor,0.0,FY26,Q1,Jun,,
Normet,0.2989,FY26,Q1,Apr,EU,0.5586100023391358
Normet,0.2992,FY26,Q1,May,EU,0.5586100023391358
Normet,0.3019,FY26,Q1,Jun,EU,0.5586100023391358
Northern Lakes Data Corp,0.0,FY26,Q1,Apr,,
Northern Lakes Data Corp,0.0,FY26,Q1,May,,
Northern Lakes Data Corp,0.0,FY26,Q1,Jun,,
Northern Trust,0.028,FY26,Q1,Apr,US BFSI,0.7878718090909091
Northern Trust,0.028,FY26,Q1,May,US BFSI,0.7878718090909091
Northern Trust,0.028,FY26,Q1,Jun,US BFSI,0.7878718090909091
NSW Ports ,0.0,FY26,Q1,Apr,ANZ,0.0
NSW Ports ,0.0,FY26,Q1,May,ANZ,0.0
NSW Ports ,0.0,FY26,Q1,Jun,ANZ,0.0
Oasis Group ,0.0074,FY26,Q1,Apr,UK IRELAND,0.5108260247929735
Oasis Group ,0.0095,FY26,Q1,May,UK IRELAND,0.5108260247929735
Oasis Group ,0.007,FY26,Q1,Jun,UK IRELAND,0.5108260247929735
Omnicom,0.10353425,FY26,Q1,Apr,US TMTE,0.6599520257259492
Omnicom,0.1057885,FY26,Q1,May,US TMTE,0.6599520257259492
Omnicom,0.101445,FY26,Q1,Jun,US TMTE,0.6599520257259492
"Outform Group, Inc",0.0,FY26,Q1,Apr,US RMD,0.0
"Outform Group, Inc",0.0,FY26,Q1,May,US RMD,0.0
"Outform Group, Inc",0.0,FY26,Q1,Jun,US RMD,0.0
P&O Ferries Division,0.037,FY26,Q1,Apr,UK IRELAND,0.6197656912997873
P&O Ferries Division,0.034,FY26,Q1,May,UK IRELAND,0.6197656912997873
P&O Ferries Division,0.032,FY26,Q1,Jun,UK IRELAND,0.6197656912997873
Parata Systems,0.0079,FY26,Q1,Apr,US HLS,0.21709719999999996
Parata Systems,0.0082,FY26,Q1,May,US HLS,0.21709719999999996
Parata Systems,0.0079,FY26,Q1,Jun,US HLS,0.21709719999999996
Pennymac,1.125,FY26,Q1,Apr,US BFSI,0.5498165881542699
Pennymac,1.094,FY26,Q1,May,US BFSI,0.5498165881542699
Pennymac,1.081,FY26,Q1,Jun,US BFSI,0.5498165881542699
Peppermint,0.038,FY26,Q1,Apr,UK IRELAND,0.5247071080080635
Peppermint,0.0391,FY26,Q1,May,UK IRELAND,0.5247071080080635
Peppermint,0.038,FY26,Q1,Jun,UK IRELAND,0.5247071080080635
PepsiCo,0.052,FY26,Q1,Apr,UK IRELAND,0.5627954611111111
PepsiCo,0.0473,FY26,Q1,May,UK IRELAND,0.5627954611111111
PepsiCo,0.0435,FY26,Q1,Jun,UK IRELAND,0.5627954611111111
Peregrine,0.0,FY26,Q1,Apr,,
Peregrine,0.0,FY26,Q1,May,,
Peregrine,0.0,FY26,Q1,Jun,,
PNG Data Co,0.0093,FY26,Q1,Apr,ANZ,0.0
PNG Data Co,0.0,FY26,Q1,May,ANZ,0.0
PNG Data Co,0.0,FY26,Q1,Jun,ANZ,0.0
PointsKash,0.0,FY26,Q1,Apr,,
PointsKash,0.0,FY26,Q1,May,,
PointsKash,0.0,FY26,Q1,Jun,,
Polypore,0.0,FY26,Q1,Apr,US RMD,0.0
Polypore,0.0,FY26,Q1,May,US RMD,0.0
Polypore,0.0,FY26,Q1,Jun,US RMD,0.0
Pope Packaging,0.0476,FY26,Q1,Apr,ANZ,0.48785429182751067
Pope Packaging,0.002,FY26,Q1,May,ANZ,0.48785429182751067
Pope Packaging,0.002,FY26,Q1,Jun,ANZ,0.48785429182751067
PPC Flexible Packaging,0.0,FY26,Q1,Apr,,
PPC Flexible Packaging,0.0,FY26,Q1,May,,
PPC Flexible Packaging,0.0,FY26,Q1,Jun,,
Precision Autonomy,0.0,FY26,Q1,Apr,,
Precision Autonomy,0.0,FY26,Q1,May,,
Precision Autonomy,0.0,FY26,Q1,Jun,,
Premier Lotteries Ireland DAC ,0.042,FY26,Q1,Apr,,
Premier Lotteries Ireland DAC ,0.017,FY26,Q1,May,,
Premier Lotteries Ireland DAC ,0.017,FY26,Q1,Jun,,
Primeline,-0.085,FY26,Q1,Apr,,
Primeline,0.015,FY26,Q1,May,,
Primeline,0.015,FY26,Q1,Jun,,
Print Syndicate,0.0,FY26,Q1,Apr,US RMD,0.0
Print Syndicate,0.0,FY26,Q1,May,US RMD,0.0
Print Syndicate,0.0,FY26,Q1,Jun,US RMD,0.0
Prodigy Healthcare,0.0,FY26,Q1,Apr,US HLS,0.0
Prodigy Healthcare,0.0,FY26,Q1,May,US HLS,0.0
Prodigy Healthcare,0.0,FY26,Q1,Jun,US HLS,0.0
QuarkCity,0.001,FY26,Q1,Apr,,
QuarkCity,0.001,FY26,Q1,May,,
QuarkCity,0.001,FY26,Q1,Jun,,
Quest,0.0,FY26,Q1,Apr,,
Quest,0.0,FY26,Q1,May,,
Quest,0.0,FY26,Q1,Jun,,
Ralph Lauren Sourcing India LLP,0.0,FY26,Q1,Apr,APAC,0.0
Ralph Lauren Sourcing India LLP,0.0,FY26,Q1,May,APAC,0.0
Ralph Lauren Sourcing India LLP,0.0,FY26,Q1,Jun,APAC,0.0
Rambus,0.0,FY26,Q1,Apr,,
Rambus,0.0,FY26,Q1,May,,
Rambus,0.0,FY26,Q1,Jun,,
Randstad,0.0,FY26,Q1,Apr,APAC,0.0
Randstad,0.0,FY26,Q1,May,APAC,0.0
Randstad,0.0,FY26,Q1,Jun,APAC,0.0
Ranstad (Walmart India),0.0,FY26,Q1,Apr,APAC,0.0
Ranstad (Walmart India),0.0,FY26,Q1,May,APAC,0.0
Ranstad (Walmart India),0.0,FY26,Q1,Jun,APAC,0.0
Rarik,0.0,FY26,Q1,Apr,,
Rarik,0.0,FY26,Q1,May,,
Rarik,0.0,FY26,Q1,Jun,,
Red Hill Ventures,0.0,FY26,Q1,Apr,,
Red Hill Ventures,0.0,FY26,Q1,May,,
Red Hill Ventures,0.0,FY26,Q1,Jun,,
Reliance steel,0.0,FY26,Q1,Apr,,
Reliance steel,0.0,FY26,Q1,May,,
Reliance steel,0.0,FY26,Q1,Jun,,
Republic Bank,0.15,FY26,Q1,Apr,,
Republic Bank,0.2,FY26,Q1,May,,
Republic Bank,0.3,FY26,Q1,Jun,,
Reynolds Consumer products ,0.007,FY26,Q1,Apr,,
Reynolds Consumer products ,0.024,FY26,Q1,May,,
Reynolds Consumer products ,0.025,FY26,Q1,Jun,,
Ricetec,0.0,FY26,Q1,Apr,US RMD,0.5142171999999999
Ricetec,0.0,FY26,Q1,May,US RMD,0.5142171999999999
Ricetec,0.0,FY26,Q1,Jun,US RMD,0.5142171999999999
Ridley,0.0473,FY26,Q1,Apr,ANZ,0.23875099765983654
Ridley,0.0,FY26,Q1,May,ANZ,0.23875099765983654
Ridley,0.0,FY26,Q1,Jun,ANZ,0.23875099765983654
Ring Publications LLC,0.0,FY26,Q1,Apr,US RMD,0.07215483333333332
Ring Publications LLC,0.0,FY26,Q1,May,US RMD,0.07215483333333332
Ring Publications LLC,0.0,FY26,Q1,Jun,US RMD,0.07215483333333332
Rizz Wireless LLC,0.1168,FY26,Q1,Apr,,
Rizz Wireless LLC,0.1204,FY26,Q1,May,,
Rizz Wireless LLC,0.1168,FY26,Q1,Jun,,
R-kioski,0.0,FY26,Q1,Apr,EU,0.0
R-kioski,0.0,FY26,Q1,May,EU,0.0
R-kioski,0.0,FY26,Q1,Jun,EU,0.0
Ronstan,0.0397,FY26,Q1,Apr,,
Ronstan,0.0,FY26,Q1,May,,
Ronstan,0.0,FY26,Q1,Jun,,
Rovia (World Venture),0.0,FY26,Q1,Apr,,
Rovia (World Venture),0.0,FY26,Q1,May,,
Rovia (World Venture),0.0,FY26,Q1,Jun,,
Rythoms Inc,0.0,FY26,Q1,Apr,,
Rythoms Inc,0.0,FY26,Q1,May,,
Rythoms Inc,0.0,FY26,Q1,Jun,,
Sage Software,0.0,FY26,Q1,Apr,US TMTE,0.4170606
Sage Software,0.0,FY26,Q1,May,US TMTE,0.4170606
Sage Software,0.0,FY26,Q1,Jun,US TMTE,0.4170606
Sally Beauty,0.0,FY26,Q1,Apr,,
Sally Beauty,0.0,FY26,Q1,May,,
Sally Beauty,0.0,FY26,Q1,Jun,,
Samsung Group,0.0,FY26,Q1,Apr,APAC,0.0
Samsung Group,0.0,FY26,Q1,May,APAC,0.0
Samsung Group,0.0,FY26,Q1,Jun,APAC,0.0
Sanford Australia Pty. Ltd.,0.015,FY26,Q1,Apr,,
Sanford Australia Pty. Ltd.,0.0,FY26,Q1,May,,
Sanford Australia Pty. Ltd.,0.0,FY26,Q1,Jun,,
SCALZO,0.0002,FY26,Q1,Apr,,
SCALZO,0.0,FY26,Q1,May,,
SCALZO,0.0,FY26,Q1,Jun,,
SCE ,0.0,FY26,Q1,Apr,US TMTE,0.0
SCE ,0.0,FY26,Q1,May,US TMTE,0.0
SCE ,0.0,FY26,Q1,Jun,US TMTE,0.0
Schnitz,0.0019,FY26,Q1,Apr,,
Schnitz,0.002,FY26,Q1,May,,
Schnitz,0.0019,FY26,Q1,Jun,,
Scyne Advisory,0.0,FY26,Q1,Apr,,
Scyne Advisory,0.0,FY26,Q1,May,,
Scyne Advisory,0.0,FY26,Q1,Jun,,
Sensormatic JCI,0.0,FY26,Q1,Apr,,
Sensormatic JCI,0.0,FY26,Q1,May,,
Sensormatic JCI,0.0,FY26,Q1,Jun,,
SGP,0.0,FY26,Q1,Apr,,
SGP,0.0,FY26,Q1,May,,
SGP,0.0,FY26,Q1,Jun,,
Shamrock Foods Company,0.0,FY26,Q1,Apr,US RMD,0.49478585999999997
Shamrock Foods Company,0.0,FY26,Q1,May,US RMD,0.49478585999999997
Shamrock Foods Company,0.0,FY26,Q1,Jun,US RMD,0.49478585999999997
She Jobs,0.2819,FY26,Q1,Apr,,
She Jobs,0.2905,FY26,Q1,May,,
She Jobs,0.2819,FY26,Q1,Jun,,
Shell,0.0102,FY26,Q1,Apr,,
Shell,0.0105,FY26,Q1,May,,
Shell,0.0302,FY26,Q1,Jun,,
Sinequa,0.00288,FY26,Q1,Apr,US TMTE,0.8056868148148149
Sinequa,0.00396,FY26,Q1,May,US TMTE,0.8056868148148149
Sinequa,0.0036,FY26,Q1,Jun,US TMTE,0.8056868148148149
Sketchers,0.0036,FY26,Q1,Apr,,
Sketchers,0.0037,FY26,Q1,May,,
Sketchers,0.0036,FY26,Q1,Jun,,
Sleep Number Corporation,0.0,FY26,Q1,Apr,US RMD,0.49478585999999997
Sleep Number Corporation,0.0,FY26,Q1,May,US RMD,0.49478585999999997
Sleep Number Corporation,0.0,FY26,Q1,Jun,US RMD,0.49478585999999997
Solera Auto Finance,0.002,FY26,Q1,Apr,,
Solera Auto Finance,0.0021,FY26,Q1,May,,
Solera Auto Finance,0.002,FY26,Q1,Jun,,
Solta,0.1815,FY26,Q1,Apr,,
Solta,0.187,FY26,Q1,May,,
Solta,0.1815,FY26,Q1,Jun,,
Sony,0.18,FY26,Q1,Apr,US TMTE,0.3499809845845638
Sony,0.1675,FY26,Q1,May,US TMTE,0.3499809845845638
Sony,0.1875,FY26,Q1,Jun,US TMTE,0.3499809845845638
Southern Glazer,0.058,FY26,Q1,Apr,,
Southern Glazer,0.0597,FY26,Q1,May,,
Southern Glazer,0.058,FY26,Q1,Jun,,
SPAR,0.0006,FY26,Q1,Apr,,
SPAR,0.0006,FY26,Q1,May,,
SPAR,0.0006,FY26,Q1,Jun,,
Spotlight,0.088,FY26,Q1,Apr,ANZ,0.4896932830486854
Spotlight,0.103,FY26,Q1,May,ANZ,0.4896932830486854
Spotlight,0.109,FY26,Q1,Jun,ANZ,0.4896932830486854
SST LLC,0.0,FY26,Q1,Apr,,
SST LLC,0.0,FY26,Q1,May,,
SST LLC,0.0,FY26,Q1,Jun,,
ST1 Oy,0.0119,FY26,Q1,Apr,,
ST1 Oy,0.0122,FY26,Q1,May,,
ST1 Oy,0.0119,FY26,Q1,Jun,,
Stockton Soda,0.043,FY26,Q1,Apr,US RMD,0.6113737400000001
Stockton Soda,0.044,FY26,Q1,May,US RMD,0.6113737400000001
Stockton Soda,0.043,FY26,Q1,Jun,US RMD,0.6113737400000001
Sunrise,0.0014,FY26,Q1,Apr,EU,0.7547799206474457
Sunrise,0.0017,FY26,Q1,May,EU,0.7547799206474457
Sunrise,0.0017,FY26,Q1,Jun,EU,0.7547799206474457
Symetra,0.066,FY26,Q1,Apr,,
Symetra,0.068,FY26,Q1,May,,
Symetra,0.066,FY26,Q1,Jun,,
Sysco,0.0,FY26,Q1,Apr,,
Sysco,0.0,FY26,Q1,May,,
Sysco,0.0,FY26,Q1,Jun,,
TATA Motors Finance Limited.,0.0,FY26,Q1,Apr,US BFSI,0.4534316832216908
TATA Motors Finance Limited.,0.0,FY26,Q1,May,US BFSI,0.4534316832216908
TATA Motors Finance Limited.,0.0,FY26,Q1,Jun,US BFSI,0.4534316832216908
Tatts,0.053,FY26,Q1,Apr,,
Tatts,0.0546,FY26,Q1,May,,
Tatts,0.053,FY26,Q1,Jun,,
TBN,0.0,FY26,Q1,Apr,,
TBN,0.0,FY26,Q1,May,,
TBN,0.0,FY26,Q1,Jun,,
Tempur-Pedic,0.0,FY26,Q1,Apr,US RMD,0.0
Tempur-Pedic,0.0,FY26,Q1,May,US RMD,0.0
Tempur-Pedic,0.0,FY26,Q1,Jun,US RMD,0.0
TerryWhite Chemmart,0.0117,FY26,Q1,Apr,ANZ,0.4295812540443899
TerryWhite Chemmart,0.0317,FY26,Q1,May,ANZ,0.4295812540443899
TerryWhite Chemmart,0.0337,FY26,Q1,Jun,ANZ,0.4295812540443899
Tesco,0.103,FY26,Q1,Apr,UK IRELAND,0.44998391393150877
Tesco,0.0,FY26,Q1,May,UK IRELAND,0.44998391393150877
Tesco,0.0,FY26,Q1,Jun,UK IRELAND,0.44998391393150877
The Oved Group,0.0,FY26,Q1,Apr,US HLS,0.0
The Oved Group,0.0,FY26,Q1,May,US HLS,0.0
The Oved Group,0.0,FY26,Q1,Jun,US HLS,0.0
Theravance,0.0099,FY26,Q1,Apr,,
Theravance,0.0102,FY26,Q1,May,,
Theravance,0.0099,FY26,Q1,Jun,,
Timken,0.0,FY26,Q1,Apr,,
Timken,0.0,FY26,Q1,May,,
Timken,0.0,FY26,Q1,Jun,,
TMS,0.132,FY26,Q1,Apr,US RMD,0.5546794625000001
TMS,0.0783,FY26,Q1,May,US RMD,0.5546794625000001
TMS,0.47,FY26,Q1,Jun,US RMD,0.5546794625000001
TORI Global,0.0,FY26,Q1,Apr,UK IRELAND,0.5247071126583582
TORI Global,0.0,FY26,Q1,May,UK IRELAND,0.5247071126583582
TORI Global,0.0,FY26,Q1,Jun,UK IRELAND,0.5247071126583582
Trident USA Health Service,0.066,FY26,Q1,Apr,US HLS,0.511015665
Trident USA Health Service,0.071,FY26,Q1,May,US HLS,0.511015665
Trident USA Health Service,0.072,FY26,Q1,Jun,US HLS,0.511015665
Trifecta Nutrition Inc,0.001485,FY26,Q1,Apr,,
Trifecta Nutrition Inc,0.0027,FY26,Q1,May,,
Trifecta Nutrition Inc,0.0028,FY26,Q1,Jun,,
Truist,2.132,FY26,Q1,Apr,,
Truist,2.332,FY26,Q1,May,,
Truist,2.332,FY26,Q1,Jun,,
TUI UK,1.47,FY26,Q1,Apr,UK IRELAND,0.3439111411811294
TUI UK,1.5,FY26,Q1,May,UK IRELAND,0.3439111411811294
TUI UK,1.83,FY26,Q1,Jun,UK IRELAND,0.3439111411811294
UKG Inc,0.059515,FY26,Q1,Apr,US TMTE,0.4634625
UKG Inc,0.07579,FY26,Q1,May,US TMTE,0.4634625
UKG Inc,0.065098,FY26,Q1,Jun,US TMTE,0.4634625
UniPro Foodservice,0.0,FY26,Q1,Apr,US RMD,0.0
UniPro Foodservice,0.05,FY26,Q1,May,US RMD,0.0
UniPro Foodservice,0.0,FY26,Q1,Jun,US RMD,0.0
Uniting Church,0.0019,FY26,Q1,Apr,ANZ,0.5821183424139018
Uniting Church,0.0,FY26,Q1,May,ANZ,0.5821183424139018
Uniting Church,0.0,FY26,Q1,Jun,ANZ,0.5821183424139018
Ventura Foods,0.2385,FY26,Q1,Apr,US RMD,0.5042882663157895
Ventura Foods,0.2735,FY26,Q1,May,US RMD,0.5042882663157895
Ventura Foods,0.3285,FY26,Q1,Jun,US RMD,0.5042882663157895
Walmart (US),0.0,FY26,Q1,Apr,,
Walmart (US),0.0,FY26,Q1,May,,
Walmart (US),0.0,FY26,Q1,Jun,,
Wavetec/Alcon,0.0,FY26,Q1,Apr,US HLS,0.0
Wavetec/Alcon,0.0,FY26,Q1,May,US HLS,0.0
Wavetec/Alcon,0.0,FY26,Q1,Jun,US HLS,0.0
Wesfarers Health,0.0,FY26,Q1,Apr,,
Wesfarers Health,0.0,FY26,Q1,May,,
Wesfarers Health,0.0,FY26,Q1,Jun,,
Western Union,1.206,FY26,Q1,Apr,,
Western Union,1.32,FY26,Q1,May,,
Western Union,1.27,FY26,Q1,Jun,,
Westway Feeds,0.0,FY26,Q1,Apr,US RMD,0.0
Westway Feeds,0.0,FY26,Q1,May,US RMD,0.0
Westway Feeds,0.0,FY26,Q1,Jun,US RMD,0.0
Widex,0.095,FY26,Q1,Apr,EU,0.5108260415698347
